Oliver A. Iggesen. 2013. Asymmetrical Case-Marking.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/50, Accessed on 2025-11-01.)

wals code	name	value	description	latitude	longitude	genus	family	area
wic	Wichita	2	Symmetrical	33.3333333333	-97.3333333333	Northern Caddoan	Caddoan	Nominal Categories
wch	Wichí	1	No case-marking	-22.5	-62.5833333333	Matacoan	Matacoan	Nominal Categories
win	Wintu	3	Additive-quantitatively asymmetrical	41.0	-122.5	Wintuan	Penutian	Nominal Categories
yag	Yagua	2	Symmetrical	-3.5	-72.0	Peba-Yaguan	Peba-Yaguan	Nominal Categories
yaq	Yaqui	2	Symmetrical	27.5	-110.25	Cahita	Uto-Aztecan	Nominal Categories
ywl	Yawelmani	2	Symmetrical	35.4166666667	-119.0	Yokuts	Penutian	Nominal Categories
yid	Yidiny	5	Qualitatively asymmetrical	-17.0	145.75	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
yim	Yimas	4	Subtractive-quantitatively asymmetrical	-4.66666666667	143.55	Lower Sepik	Ramu-Lower Sepik	Nominal Categories
yor	Yoruba	1	No case-marking	8.0	4.33333333333	Defoid	Niger-Congo	Nominal Categories
yuc	Yuchi	2	Symmetrical	35.75	-86.75	Yuchi	Yuchi	Nominal Categories
yko	Yukaghir (Kolyma)	3	Additive-quantitatively asymmetrical	65.75	150.833333333	Yukaghir	Yukaghir	Nominal Categories
ypk	Yup'ik (Central)	6	Syncretism in relevant NP-types	59.5	-160.0	Eskimo	Eskimo-Aleut	Nominal Categories
yur	Yurok	3	Additive-quantitatively asymmetrical	41.3333333333	-124.0	Yurok	Algic	Nominal Categories
zqc	Zoque (Copainalá)	2	Symmetrical	17.0	-93.25	Mixe-Zoque	Mixe-Zoque	Nominal Categories
zul	Zulu	1	No case-marking	-30.0	30.0	Bantu	Niger-Congo	Nominal Categories
zun	Zuni	3	Additive-quantitatively asymmetrical	35.0833333333	-108.833333333	Zuni	Zuni	Nominal Categories
